acidofilus	acidofilus-
hvidguld	hvidguld- el. hvidgulds-
hæder	hæders-
hævd	hævd-
højfjeld	højfjelds-
højglans	højglans-
hønsekød	hønsekød- el. hønsekøds-
ibenholt	ibenholt- el. ibenholts-
ild	ild-
iltning	iltnings-
iltsvind	iltsvinds-
incest	incest-
indefodbold	indefodbold-
indenbords	indenbords-
indendørs	indendørs-
indenrigs	indenrigs-
indfødsret	indfødsrets-
indføling	indfølings-
indhandling	indhandlings-
indie	indie-
indlevelse	indlevelses-
indlyd	indlyds-
indmad	indmads-
indslumring	indslumrings-
indvolde	indvolds-
informatik	informatik-
ingefær	ingefær-
insulin	insulin-
internet	internet-
interrail	interrail-
intetkøn	intetkøns-
intim	intim-
iridium	iridium-
ishockey	ishockey-
islam	islam-
italiensk	italiensk-
jantelov	jantelovs-
jeans	jeans-
jobtræning	jobtrænings-
jogging	jogging-
jordvarme	jordvarme-
jubel	jubel-
judo	judo-
jugend	jugend-
junglelov	junglelovs-
jute	jute-
kadmium	kadmium-
kakao	kakao-
kaki	kaki-
kalcium	kalcium-
kali	kali-
kameluld	kamelulds-
kamfer	kamfer-
kancellisprog	kancellisprogs-
kanel	kanel-
kaos	kaos-
kapgang	kapgangs-
kapillarer	kapillar-
kapillærer	kapillær-
karaoke	karaoke-
karate	karate-
karry	karry-
karting	karting-
kartoffelmel	kartoffelmels-
kashmir	kashmir-
kausal	kausal-
kedelsten	kedelstens-
kelvin	kelvin-
keramik	keramik-
kernekraft	kernekraft-
ketchup	ketchup-
kevlar	kevlar-
kickoff	kickoff-
kighoste	kighoste-
kildeskat	kildeskatte-
kingsize	kingsize-
kiper	kiper-
kirkegang	kirkegangs-
kisel	kisel-
kitin	kitin-
kitsch	kitsch-
klamydia	klamydia-
klid	klid-
klor	klor-
klorin	klorin-
klæbersten	klæberstens-
knaphed	knapheds-
knoglemarv	knoglemarvs-
koaksial	koaksial-
kobber	kobber-
kogalskab	kogalskabs-
kognition	kognitions-
kokain	kokain-
kold	kold-
koldskål	koldskåls-
kolera	kolera-
kolesterol	kolesterol-
kolik	kolik-
kommen	kommen-
kommunitet	kommunitets-
komplementaritet	komplementaritets-
kompost	kompost-
komælk	komælks-
kondi	kondi-
konjektural	konjektural-
konsekutiv	konsekutiv-
konsensus	konsensus-
konserves	konserves-
konsum	konsum-
konsummælk	konsummælks-
kontanthjælp	kontanthjælps-
kontinuitet	kontinuitets-
kontorhold	kontorholds-
kork	kork-
kornmod	kornmods-
kortison	kortison-
kosmetik	kosmetik-
koster	koster-
kricket	kricket-
kriminalitet	kriminalitets-
krisestyring	krisestyrings-
kristendom	kristendoms-
krolf	krolf-
kronvildt	kronvildt-
krudt	krudt-
krydsild	krydsilds-
kræft	kræft-
krøluld	krølulds-
kulde	kulde-
kuldioxid	kuldioxid-
kulilte	kulilte-
kulsyre	kulsyre-
kulturarv	kulturarvs-
kvas	kvas-
kviksølv	kviksølv-
kvindesag	kvindesags-
kvæg	kvæg-
kvæghold	kvægholds-
kvælstof	kvælstof-
kyllingekød	kyllingekød- el. kyllingekøds-
kærlighed	kærligheds-
kærnemælk	kærnemælks-
købekraft	købekrafts-
kød	kød-
kølevand	kølevands-
kølvand	kølvands-
kørestrøm	kørestrøms-
lakmus	lakmus-
lammekød	lammekød- el. lammekøds-
landnam	landnams-
landsråd	landsråds-
landsskatteret	landsskatterets-
landsstyre	landsstyre-
landvæsen	landvæsens-
langhalm	langhalms-
langrend	langrends-
lasagne	lasagne-
latex	latex-
latin	latin-
lavinflation	lavinflations-
lavmål	lavmåls-
lavstatus	lavstatus-
lavtløn	lavtløns-
ledighed	ledigheds-
leding	ledings-
legato	legato-
legetøj	legetøjs-
legionella	legionella-
legitimitet	legitimitets-
lejde	lejde-
lektiehjælp	lektiehjælps-
ler	ler-
lertøj	lertøjs-
letal	letal-
letmælk	letmælks-
letvægt	letvægts-
levefod	levefods-
levertran	levertran-
levned	levneds-
ligeløn	ligeløns-
ligeret	ligerets-
ligestilling	ligestillings-
ligevægt	ligevægts-
likviditet	likviditets-
limtræ	limtræs-
linoleum	linoleums-
litium	litium-
litosfære	litosfære-
livstid	livstids-
loden	loden-
lokal	lokal-
lokalløn	lokalløns-
luftkonditionering	luftkonditionerings-
luftpost	luftpost-
luksus	luksus-
lumbal	lumbal-
lydighed	lydigheds-
lydskrift	lydskrift-
lymfe	lymfe-
lyng	lyng-
læring	lærings-
lønsomhed	lønsomheds-
løsdrift	løsdrifts-
løss	løss-
løsøre	løsøre-
løv	løv-
mach	mach-
madlavning	madlavnings-
magnesit	magnesit-
magnesium	magnesium-
mainstream	mainstream-
maizena	maizena-
maj	maj-
malaria	malaria-
malkekvæg	malkekvægs-
mammon	mammons-
management	management-
manddom	manddoms-
marcipan	marcipan-
marehalm	marehalms-
marketing	marketing-
marmor	marmor-
marts	marts-
masonit	masonit-
maternitet	maternitets-
mavesyre	mavesyre-
medbestemmelse	medbestemmelses-
medgang	medgangs-
medhjælp	medhjælps-
medhør	medhørs-
medicinal	medicinal-
medieansvar	medieansvars-
medlidenhed	medlidenheds-
medløb	medløbs-
melamin	melamin-
melasse	melasse-
mellemfod	mellemfods-
mellemgulv	mellemgulvs-
mellemhånd	mellemhånds-
mellemvægt	mellemvægts-
mellemøre	mellemøre-
menigmand	menigmands-
menneskeret	menneskerets-
mensendieck	mensendieck-
mentol	mentol-
mere	mer-
mereværd	mereværds-
mergel	mergel-
merlot	merlot-
merskum	merskums-
messing	messing-
metadon	metadon-
metallic	metallic-
metan	metan-
middelalder	middelalder-
midnat	midnats-
midtbane	midtbane-
midttunge	midttunge-
midtvejs	midtvejs-
miltbrand	miltbrand-
mindreværd	mindreværds-
mindsteløn	mindsteløns-
mineraluld	mineralulds-
minigolf	minigolf-
minimalløn	minimalløns-
minimælk	minimælks-
mint	mint-
mishag	mishags-
mismod	mismods-
mistillid	mistillids-
misundelse	misundelses-
mjød	mjød-
mobilitet	mobilitets-
modermælk	modermælks-
modetøj	modetøjs-
mohair	mohair-
molskind	molskinds-
moms	moms-
mono	mono-
morfin	morfin-
morgenmad	morgenmads-
mortalitet	mortalitets-
moskus	moskus-
motion	motions-
mudder	mudder-
muffin	muffin-
mug	mug-
muld	muld-
multimedie	multimedia- el. multimedie-
murværk	murværks-
musik	musik-
musikvidenskab	musikvidenskabs-
muskelsvind	muskelsvind-
mælkesyre	mælkesyre-
mælkevejen	mælkevejs-
mærketøj	mærketøjs-
mæslinger	mæslinge-
mødrehjælp	mødrehjælps-
møg	møg-
mørk	mørk-
mørke	mørke-
mørkning	mørknings-
mørning	mørnings-
mådehold	mådeholds-
månedsløn	månedsløns-
måneskin	måneskins-
nadver	nadver-
napalm	napalm-
nappa	nappa-
nardus	nardus-
narko	narko-
narv	narv-
national	national-
nattøj	nattøjs-
naturgas	naturgas-
naturtræ	naturtræs-
nedbør	nedbørs-
neon	neon-
netradio	netradio-
netto	netto-
neutralitet	neutralitets-
nikkel	nikkel-
nikotin	nikotin-
nittenhundredetal	nittenhundredetals-
nittenhundredtal	nittenhundredtals-
nonfood	nonfood-
nonsens	nonsens-
nonstop	nonstop-
nuklear	nuklear-
nultolerance	nultolerance-
nulvækst	nulvækst-
nutid	nutids-
nøddetræ	nøddetræs-
nødhjælp	nødhjælps-
nødret	nødrets-
nødstrøm	nødstrøms-
nødtørft	nødtørfts-
nødværge	nødværge-
offshore	offshore-
oilskin	oilskins-
oksekød	oksekød- el. oksekøds-
oktan	oktan-
oldboy	oldboys-
oldtid	oldtids-
olmerdug	olmerdugs-
omdrift	omdrifts-
omfang	omfangs-
omlyd	omlyds-
omsorg	omsorgs-
omverden	omverdens-
online	online-
onshore	onshore-
opbyggelse	opbyggelses-
opdragelse	opdragelses-
opdrift	opdrifts-
opførsel	opførsels-
ophavsret	ophavsrets-
opium	opium- el. opiums-
opmarch	opmarch-
oprustning	oprustnings-
opsugning	opsugnings-
opsyn	opsyns-
optjening	optjenings-
opvækst	opvækst-
ordblind	ordblinde-
ordføjning	ordføjnings-
otium	otium-
overbefolkning	overbefolknings-
overflod	overflods-
overtid	overtids-
overtryk	overtryks-
overtræning	overtrænings-
overvægt	overvægts-
ozon	ozon-
ozonlag	ozonlags-
paintball	paintball-
palisander	palisander-
papiruld	papiruld- el. papirulds-
pari	pari-
peperoni	peperoni-
pepperoni	pepperoni-
perlemor	perlemors-
petanque	petanque-
petroleum	petroleums-
piassava	piassava-
pietet	pietets-
pladejern	pladejerns-
plano	plano-
planteavl	planteavls-
playback	playback-
plexiglas	plexiglas-
plutonium	plutonium-
polar	polar-
politi	politi-
popcorn	popcorn- el. popcorns-
popkorn	popkorn- el. popkorns-
popularitet	popularitets-
porno	porno-
porto	porto-
possement	possement-
postgraduat	postgraduat-
pragt	pragt-
praktikum	praktikum-
prestige	prestige-
proforma	proforma-
projektløn	projektløns-
propaganda	propaganda-
propan	propan-
propolis	propolis-
proportionalitet	proportionalitets-
propyl	propyl-
proviant	proviant-
præcision	præcisions-
prædestination	prædestinations-
præpubertet	præpubertets-
psoriasis	psoriasis-
pubertet	pubertets-
publicitet	publicitets-
punk	punk-
punktskrift	punktskrift- el. punktskrifts-
pyntegrønt	pyntegrønt- el. pyntegrønts-
pædagogikum	pædagogikum-
pøbel	pøbel-
quinoa	quinoa-
rafting	rafting-
raglan	raglan-
ragtime	ragtime-
raku	raku-
rationalitet	rationalitets-
ravndug	ravndugs-
realkredit	realkredit-
realløn	realløns-
reaumur	reaumur-
reggae	reggae-
regional	regional-
regnvand	regnvands-
regnvejr	regnvejrs-
regularitet	regularitets-
relativitet	relativitets-
renhed	renheds-
renholdning	renholdnings-
rentesikring	rentesikrings-
reps	reps-
research	research-
resistens	resistens-
resultatløn	resultatløns-
retfærd	retfærds-
retfærdighed	retfærdigheds-
retrograd	retrograd-
