astronautisk	 itk. d.s., -e 
astronomisk	 itk. d.s., -e 
asymmetrisk	 itk. d.s., -e 
asymptotisk	 itk. d.s., -e 
asyndetisk	 itk. d.s., -e 
asynkron	 -t, -e 
atavistisk	 itk. d.s., -e 
ateistisk	 itk. d.s., -e 
atheniensisk	 itk. d.s., -e 
athensk	 itk. d.s., -e 
atlantisk	 itk. d.s., -e 
atletisk	 itk. d.s., -e 
atmosfærisk	 itk. d.s., -e 
atomar	 -t, -e 
atombevæbnet	 atombevæbnede
atomdreven	 atomdrevet, atomdrevne
atomdrevet	 atomdrevne
atomfri	 -t, -e el. atomfri 
atomistisk	 itk. d.s., -e 
atonal	 -t, -e 
atrofisk	 itk. d.s., -e 
attenårig	 -t, -e
attisk	 itk. d.s., -e 
attraktiv	 -t, -e 
attributiv	 -t, -e 
attråværdig	 -t, -e 
atypisk	 itk. d.s., -e 
audiologisk	 itk. d.s., -e
audiologopædisk	 itk. d.s., -e
audiovisuel	 -t, -le 
auditiv	 -t, -e 
augustinsk	 itk. d.s., -e 
australsk	 itk. d.s., -e
autarkisk	 itk. d.s., -e 
autentisk	 itk. d.s., -e 
autistisk	 itk. d.s., -e 
autobiografisk	 itk. d.s., -e 
autodidaktisk	 itk. d.s., -e 
autogen	 -t, -e 
autokratisk	 itk. d.s., -e 
autokton	 -t, -e 
automatisk	 itk. d.s., -e
automekanisk	 itk. d.s., -e
autonom	 -t, -e 
autoritativ	 -t, -e 
autoritær	 -t, -e 
avancere	 -r, -de, -t 
avantgardistisk	 itk. d.s., -e 
avledygtig	 -t, -e
aztekisk	 itk. d.s., -e 
azurblå	 -t, azurblå
babelsk	 itk. d.s., -e
babylonisk	 itk. d.s., -e 
babylonsk	 itk. d.s., -e 
bagerst	 -e
bagest	 -e
baghjulstrukken	 baghjulstrukket, baghjulstrukne
baghjulstrukket	 baghjulstrukne
bagindisk	 itk. d.s., -e 
bagklog	 -t, -e
bagoverbøjet	 bagoverbøjede
bagstræberisk	 itk. d.s., -e 
bagtalerisk	 itk. d.s., -e
bagudlønnet	 bagudlønnede 
bagudrettet	 bagudrettede
bagudvendt	 bagudvendte
bagvendt	 -e
bahamansk	 itk. d.s., -e 
bahrainsk	 itk. d.s., -e 
bajersk	 itk. d.s., -e
baktericid	 -t, -e 
bakteriefri	 -t, -e el. bakteriefri
bakteriel	 -t, -le
bakteriologisk	 itk. d.s., -e 
balancere	 -r, -de, -t
balearisk	 itk. d.s., -e
balkansk	 itk. d.s., -e 
ballistisk	 itk. d.s., -e 
balsamisk	 itk. d.s., -e 
balstyrig	 -t, -e 
balstyrisk	 itk. d.s., -e 
baltisk	 itk. d.s., -e
bamset	 bamsede
banal	 -t, -e
bandsat	 -te 
bangladeshisk	 itk. d.s., -e 
baptistisk	 itk. d.s., -e 
barbadisk	 itk. d.s., -e 
barbarisk	 itk. d.s., -e 
barbenet	 barbenede
barfodet	 barfodede
barhovedet	 barhovedede
barket	 barkede
barmfager	 -t, barmfagre 
barmhjertig	 -t, -e
barnagtig	 -t, -e
barnefødt	 -e
barnlig	 -t, -e
barnløs	 -t, -e
barometrisk	 itk. d.s., -e 
barsk	 itk. d.s. el. -t, -e
barthiansk	 itk. d.s., -e 
basal	 -t, -e
basisk	 itk. d.s., -e 
bastant	 -e
batteridreven	 batteridrevet, batteridrevne
bayersk	 itk. d.s., -e 
bearbejdelig	 -t, -e
beboelig	 -t, -e
bebrillet	 bebrillede 
bedaget	 bedagede 
bedragerisk	 itk. d.s., -e
bedrestillet	 bedrestillede 
bedrøve	 -r, -de, -t 
bedrøvelig	 -t, -e 
god	 -t, -e
bedsteborgerlig	 -t, -e 
bedugget	 beduggede 
bedøve	 -r, -de, -t
bedåre	 -r, -de, -t 
befaren	 -t, befarne 
befippet	 befippede 
befuldmægtiget	 befuldmægtigede
befængt	 -e 
befærde	 -r, -de, -t 
beføjet	 beføjede 
begave	 -r, -de, -t 
begejstret	 begejstrede
begivenhedsrig	 -t, -e
begrebslig	 -t, -e 
begribelig	 -t, -e 
begroet	 begroede
begrædelig	 -t, -e 
begrænse	 -r, -de, -t
begsort	 -e 
begærlig	 -t, -e 
behagelig	 -t, -e, som adv. også uden -t
behandlelig	 -t, -e
behandsket	 behandskede
behavioristisk	 itk. d.s., -e 
beherske	 -r, -de, -t
behjertet	 behjertede 
behjælpelig	 -t, -e
behændig	 -t, -e 
behørig	 -t, -e 
behåret	 behårede
beigefarvet	 beigefarvede
beklagelig	 -t, -e
beklemt	 -e 
beklumret	 beklumrede
bekostelig	 -t, -e 
bekræfte	 -r, -de, -t
bekvem	 -t, -me
bekymre	 -r, -de, -t
belejlig	 -t, -e
beleven	 -t, belevne 
belgisk	 itk. d.s., -e
belizisk	 itk. d.s., -e 
belæst	 -e 
bemidlet	 bemidlede 
bemærkelsesværdig	 -t, -e, som adv. også uden -t
beneficeret	 beneficerede
benet	 benede
benfri	 -t, -e el. benfri
bengalsk	 itk. d.s., -e 
benhård	 -t, -e
benign	 -t, -e 
beninsk	 itk. d.s., -e 
benløs	 -t, -e
benovet	 benovede 
benzindreven	 benzindrevet, benzindrevne
benzindrevet	 benzindrevne
berberisk	 itk. d.s., -e 
berbisk	 itk. d.s., -e 
bereden	 -t, beredne 
beredt	 -e 
beredvillig	 -t, -e 
beregnelig	 -t, -e 
berejse	 -r, berejste, berejst
berettige	 -r, -de, -t 
bergensisk	 itk. d.s., -e 
berlinsk	 itk. d.s., -e 
beruse	 -r, -de, -t
berygtet	 berygtede
berømmelig	 -t, -e 
berømt	 -e
besidderisk	 -e 
besindig	 -t, -e 
besk	 itk. d.s. el. -t, -e 
beskaffen	 -t, beskafne 
beskeden	 -t, beskedne
beskidt	 -e
beskrivelig	 -t, -e
beskæmme	 -r, -de, -t 
beskænke	 -r, -de, -t 
beslutningsdygtig	 -t, -e 
beslutsom	 -t, -me
beslægtet	 beslægtede
beslået	 beslåede
bespottelig	 -t, -e 
bestaltet	 bestaltede 
bestemmelig	 -t, -e 
bestemt	 -e
bestialsk	 itk. d.s., -e 
bestikkelig	 -t, -e
bestyrtet	 bestyrtede 
bestøvlet	 bestøvlede 
besvogret	 besvogrede
besværlig	 -t, -e
besynderlig	 -t, -e
betalbar	 -t, -e 
betalingsdygtig	 -t, -e 
betimelig	 -t, -e 
betinge	 -r, -de, -t betingelsesløs	 -t, -e
betonkommunistisk	 itk. d.s., -e
betragtelig	 -t, -e, som adv. også uden -t
betrygge	 -r, -de, -t 
betrængt	 -e 
betuttet	 betuttede 
betydelig	 -t, -e, som adv. også uden -t
betydningsfuld	 -t, -e
betydningsløs	 -t, -e
betynget	 betyngede 
betændt	 -e
betænkelig	 -t, -e, som adv. også uden -t
betænksom	 -t, -me
beundringsværdig	 -t, -e
bevandret	 bevandrede 
bevaringsværdig	 -t, -e
bevendt	 -e
bevidst	 -e
bevidstløs	 -t, -e
bevinget	 bevingede 
beviselig	 -t, -e, som adv. også uden -t
bevislig	 -t, -e, som adv. også uden -t
bevokset	 bevoksede
bevægelig	 -t, -e
bevægelseshæmmet	 bevægelseshæmmede
beåndet	 beåndede 
bhutansk	 itk. d.s., -e 
bibelsk	 itk. d.s., -e
bibelstærk	 -t, -e
bibliografisk	 itk. d.s., -e
bibliometrisk	 itk. d.s., -e 
bibliotekarisk	 itk. d.s., -e 
bidragsberettiget	 bidragsberettigede
bidragspligtig	 -t, -e
bidsk	 itk. d.s. el. -t, -e
biennal	 -t, -e 
bifil	 -t, -e 
bifokal	 -t, -e 
bigot	 -te 
bilateral	 -t, -e 
bilfri	 -t, -e el. bilfri
bilingval	 -t, -e 
billedkunstnerisk	 itk. d.s., -e
billedlig	 -t, -e, som adv. også uden -t
billedskøn	 -t, -ne
billøs	 -t, -e 
bims	 itk. d.s., -e el. bims 
bindegal	 -t, -e
bindstærk	 -t, -e 
binokular	 -t, -e 
binokulær	 -t, -e 
binær	 -t, -e 
biodynamisk	 itk. d.s., -e
bioetisk	 itk. d.s., -e 
biofysisk	 itk. d.s., -e 
biogeografisk	 itk. d.s., -e 
biografaktuel	 -t, -le
biografisk	 itk. d.s., -e 
biokemisk	 itk. d.s., -e 
biologisk	 itk. d.s., -e
biomedicinsk	 itk. d.s., -e 
biometrisk	 itk. d.s., -e 
biopatisk	 itk. d.s., -e 
bioteknisk	 itk. d.s., -e 
bioteknologisk	 itk. d.s., -e 
biotisk	 itk. d.s., -e 
bipolar	 -t, -e 
biscayisk	 itk. d.s., -e
biseksuel	 -t, -le
biskoppelig	 -t, -e 
bisset	 bissede 
bister	 -t, bistre 
bitterlig	 -t, -e, som adv. også uden -t
bittersød	 -t, -e
bituminøs	 -t, -e 
bizar	 -t, -re 
bjergrig	 -t, -e
bjergsom	 -t, -me
bjergtagen	 bjergtaget, bjergtagne el. bjergtagede
bjergtaget	 bjergtagne el. bjergtagede
bjærgsom	 -t, -me
bladformet	 bladformede
blakket	 blakkede 
blandbar	 -t, -e 
blande	 -r, -de, -t
blankpoleret	 blankpolerede
blankslidt	 -e
blasert	 -e 
blasfemisk	 itk. d.s., -e 
blegfed	 -t, -e
blegnæbbet	 blegnæbbede 
blegnæbet	 blegnæbede 
blegrød	 -t, -e
blegsotig	 -t, -e 
blegsottig	 -t, -e 
blended	 itk. d.s., -e 
blid	 -t, -e
blindfødt	 -e
blisset	 blissede 
blodbestænket	 blodbestænkede
blodbestænkt	 -e
blodfattig	 -t, -e 
blodig	 -t, -e
blodløs	 -t, -e 
blodrig	 -t, -e
blodsbeslægtet	 blodsbeslægtede
blodskudt	 -e
blodsprængt	 -e
blodtørstig	 -t, -e
blodunderløben	 -t, blodunderløbne
blokpolitisk	 itk. d.s., -e
blommefarvet	 blommefarvede
blomsterdygtig	 -t, -e 
blomsterløs	 -t, -e 
blomstre	 -r, -de, -t
blond	 itk. d.s. el. -t, -e
blufærdig	 -t, -e
blyfri	 -t, -e el. blyfri
blyholdig	 -t, -e
blyindfattet	 blyindfattede
blændfri	 -t, -e el. blændfri
blæret	 blærede 
blødagtig	 -t, -e 
blødhjertet	 blødhjertede
blødkogt	 -e
blødstrøgen	 blødstrøget, blødstrøgne
blødstrøget	 blødstrøgne
blødsøden	 -t, blødsødne
blåfrossen	 -t, blåfrosne
blågrøn	 -t, -ne
blågrå	 -t, blågrå
blålig	 -t, -e
blåsort	 -e
blåøjet	 blåøjede 
bodfærdig	 -t, -e 
bofast	 -e 
bogaktuel	 -t, -le
boglig	 -t, -e
boglærd	 itk. d.s., -e
bogstavelig	 -t, -e, som adv. også uden -t
bogstavret	 -te
bogtrykt	 -e
boldsikker	 -t, boldsikre
boligberettiget	 boligberettigede 
boligløs	 -t, -e
boliviansk	 itk. d.s., -e
bolsjestribet	 bolsjestribede
bolsjevikisk	 itk. d.s., -e 
bolsjevistisk	 itk. d.s., -e 
bombastisk	 itk. d.s., -e
bombesikker	 -t, bombesikre 
bomstærk	 -t, -e
bonapartistisk	 itk. d.s., -e 
bondefødt	 -e
bondsk	 itk. d.s. el. -t, -e
boolesk	 itk. d.s., -e
bordeauxfarvet	 bordeauxfarvede
bordeauxrød	 -t, -e
borgerlig	 -t, -e
bornert	 -e 
bornholmsk	 itk. d.s., -e
bortfløjet	 bortfløjne
bortløben	 bortløbet, bortløbne
bortløbet	 bortløbne
bortrejst	 -e
bosnisk	 itk. d.s., -e
botanisk	 itk. d.s., -e
botnisk	 itk. d.s., -e
botswansk	 itk. d.s., -e 
bovlam	 -t, -me 
brahmansk	 itk. d.s., -e 
braknæset	 braknæsede 
bramfri	 -t, -e el. bramfri 
branchekendt	 -e
brandbar	 -t, -e
branddrøj	 -t, -e 
brandesiansk	 itk. d.s., -e 
brandfarlig	 -t, -e
brandfri	 -t, -e el. brandfri 
brandgod	 -t, -e
brandgul	 -t, -e 
brandhærget	 brandhærgede
brandskadet	 brandskadede
brandvarm	 -t, -e
brasiliansk	 itk. d.s., -e
brat	 -te
brav	 -t, -e
bredbaget	 bredbagede
bredbladet	 bredbladede
bredfuld	 -t, -e 
bredfyldt	 -e 
bredriflet	 bredriflede
bredrygget	 bredryggede
bredrøvet	 bredrøvede
bredskuldret	 bredskuldrede
bredskygget	 bredskyggede
bredspektret	 bredspektrede
bredstribet	 bredstribede
bremsesikker	 -t, bremsesikre
briggsk	 itk. d.s., -e
brisant	 -e , 
bristefærdig	 -t, -e 
britisk	 itk. d.s., -e
brodden	 -t, brodne
broderlig	 -t, -e
broget	 brogede
bromatologisk	 itk. d.s., -e 
bronkial	 -t, -e 
bronzefarvet	 bronzefarvede
brostensbelagt	 -e
bruden	 -t, brudne
brudfri	 -t, -e el. brudfri
brudsikker	 -t, brudsikre
brudstykkevis	 itk. d.s. el. -t, -e
brugbar	 -t, -e
brugelig	 -t, -e
brugerbetalt	 -e
brugerdreven	 brugerdrevet, brugerdrevne
brugervenlig	 -t, -e
brugsklar	 -t, -e
brugsrigtig	 -t, -e
brunbejdset	 brunbejdsede
bruneisk	 itk. d.s., -e 
brunlig	 -t, -e
brunmasket	 brunmaskede
brunstig	 -t, -e 
brusket	 bruskede 
brusten	 -t, brustne 
brutal	 -t, -e
brutalistisk	 itk. d.s., -e 
brydsom	 -t, -me
brynjeklædt	 -e
bryologisk	 itk. d.s., -e 
brysk	 itk. d.s. el. -t, -e 
brændbar	 -t, -e
brødebetynget	 brødebetyngede 
brødefuld	 -t, -e 
brødflov	 -t, -e 
brødløs	 -t, -e
brøsig	 -t, -e 
brøstfældig	 -t, -e 
brøstholden	 -t, brøstholdne 
buddhistisk	 itk. d.s., -e 
bueformet	 bueformede
bugte	 -r, -de, -t 
buklet	 buklede
bukseløs	 -t, -e
bul	 -len, -le el. -ler, -lene el. -lerne 
bulet	 bulede
bulgarsk	 itk. d.s., -e
bulimisk	 itk. d.s., -e 
bumse	 -r, -de, -t 
bund	 -en, -e, -ene
bundfrossen	 -t, bundfrosne
bundløs	 -t, -e
bundrådden	 -t, bundrådne
bundtvis	 itk. d.s. el. -t, -e
