afplukning	 -en, -er, -erne
afpolitisering	 -en, 
afpresning	 -en, -er, -erne
afpresser	 -en, -e, -ne
afprivatisering	 -en, -er, -erne
afpropning	 -en, -er, -erne
afprøvning	 -en, -er, -erne
afpudsning	 -en, -er, -erne
afpæling	 -en, -er, -erne
afrapportering	 -en, -er, -erne
afreagering	 -en, -er, -erne
afreaktion	 -en, -er, -erne
afregistrering	 -en, -er, -erne
afregning	 -en, -er, -erne
afregulering	 -en, -er, -erne
afrejsedato	 -en, -er, -erne
afrensning	 -en, -er, -erne
afretning	 -en, -er, -erne
afrettelse	 -n, -r, -rne
afretter	 -en, -e, -ne 
afridsning	 -en, -er, -erne
afrigning	 -en, -er, -erne
afrikaaner	 -en, -e, -ne 
afrikaner	 -en, -e, -ne 
afrikanisering	 -en
afrimning	 -en, -er, -erne
afrivning	 -en, -er, -erne
afroamerikaner	 -en, -e, -ne 
afrodisiakum	 -met, afrodisiaka, afrodisiakaene 
afrohår	 -et 
afrunding	 -en, -er, -erne
afrusning	 -en, -er, -erne
afrustning	 -en, -er, -erne
afrydde	 -r, -de, -t 
afrydning	 -en, -er, -erne
afrømning	 -en, -er, -erne 
afsats	 -en, -er, -erne
afsavn	 -et, afsavn, -ene 
afsende	 -r, afsendte, afsendt
afsendelse	 -n, -r, -rne
afsigelse	 -n, -r, -rne
afsikring	 -en, -er, -erne
afsind	 -et 
afsindighed	 -en, -er, -erne
afskaffelse	 -n
afskalling	 -en, -er, -erne
afskalning	 -en, -er, -erne
afsked	 -en, -er, -erne
afskedigelse	 -n, -r, -rne
afskedsbegæring	 -en, -er, -erne
afskedsreception	 -en, -er, -erne
afskedssalut	 -ten, -ter, -terne 
afskibe	 -r, -de, -t 
afskibning	 -en, -er, -erne
afskovning	 -en
afskrabe	 -r, -de, -t
afskrabning	 -en, -er, -erne
afskridtning	 -en, -er, -erne
afskrift	 -en, -er, -erne
afskrivning	 -en, -er, -erne
afskrækkelse	 -n, 
afskrælning	 -en, -er, -erne
afskum	 -met, afskum, -mene 
afskumning	 -en, -er, -erne
afskydning	 -en, -er, -erne
afskyelighed	 -en, -er, -erne
afskygning	 -en, -er, -erne
afskæring	 -en, -er, -erne
afskærmning	 -en, -er, -erne
afslag	 -et, afslag, -ene
afslapning	 -en, 
afslappelse	 -n
afslibning	 -en, -er, -erne
afslutning	 -en, -er, -erne
afslutningsfest	 -en, -er, -erne
afslutte	 -r, -de, -t
afsløring	 -en, -er, -erne
afsmag	 -en 
afsmeltning	 -en, -er, -erne
afsminkning	 -en, -er, -erne
afsmitning	 -en, 
afsnit	 -tet, afsnit, -tene
afsnøring	 -en, -er, -erne
afsondring	 -en, -er, -erne
afsone	 -r, -de, -t
afsoning	 -en, -er, -erne
afspadsering	 -en, -er, -erne
afspaltning	 -en, -er, -erne
afspejling	 -en, -er, -erne
afspille	 -r, -de, -t
afspilning	 -en, -er, -erne
afspisning	 -en, -er, -erne
afsporing	 -en, -er, -erne
afspritning	 -en, -er, -erne
afspænding	 -en, 
afspændingsmiddel	 afspændingsmidlet, afspændingsmidler, afspændingsmidlerne
afspændingspædagog	 -en, -er, -erne
afspærring	 -en, -er, -erne
afstamning	 -en, -er, -erne
afstand	 -en, -e, -ene
afstandsmåler	 -en, -e, -ne
afstemning	 -en, -er, -erne
afstigning	 -en, -er, -erne
afstikker	 -en, -e, -ne 
afstikning	 -en, -er, -erne
afstivning	 -en, -er, -erne
afstraffelse	 -n, -r, -rne
afstresning	 -en, 
afstribning	 -en, -er, -erne
afstrømning	 -en, -er, -erne
afstumpning	 -en, -er, -erne
afstøbning	 -en, -er, -erne
afstødning	 -en, -er, -erne
afstøvning	 -en, -er, -erne
afståelse	 -n, -r, -rne 
afsvaling	 -en, -er, -erne
afsvidning	 -en, -er, -erne
afsvovling	 -en, -er, -erne
afsvækkelse	 -n, -r, -rne
afsvækning	 -en, -er, -erne
afsværgelse	 -n, -r, -rne
afsyngelse	 -n, -r, -rne
afsyngning	 -en, -er, -erne
afsyring	 -en, -er, -erne
afsæbning	 -en, -er, -erne
afsætning	 -en, -er, -erne
afsættelse	 -n, -r, -rne
afsøgning	 -en, -er, -erne
aftabuisering	 -en, -er, -erne
aftager	 -en, -e, -ne aftagning	 -en, -er, -erne
aftakling	 -en, -er, -erne
aftapning	 -en, -er, -erne
aftegn	 -et, aftegn, -ene
aftegning	 -en, -er, -erne
aften	 -en, aftner, aftnerne
aftenbrug	 -en
aftenbøn	 -nen, -ner, -nerne
aftenflade	 -n, -r, -rne 
aftengudstjeneste	 -n, -r, -rne
aftenkaffe	 -n
aftenrøde	 -n 
aftensang	 -en, -e, -ene
aftensbord	 -et 
aftenskole	 -n, -r, -rne
aftensmad	 -en, 
aftensmåltid	 -et, -er, -erne
aftensol	 -en
aftenstjerne	 -n, -r, -rne  
aftenstund	 -en, -er, -erne
aftensværmer	 -en, -e, -ne 
aftentur	 -en, -e, -ene
aftenvagt	 -en, -er, -erne
afterbeat	 -et, afterbeat, -ene 
aftershave	 -n, -r, -rne 
afterskiing	 -en , 
